"area","year","age","habitat","watercraft","wcs","debris","cold","redtide","other","undetermined","total"
"ATL",1996,"Calves","Low",1,0,0,1,0,6,8,8
"USJ",1996,"Calves","Low",1,0,1,2,0,0,4,4
"NW",1996,"Calves","Low",4,0,0,3,0,1,8,8
"SW",1996,"Calves","Low",6,0,0,1,1,7,15,15
"ATL",1997,"Calves","Low",4,0,0,0,0,1,5,5
"USJ",1997,"Calves","Low",4,1,0,5,0,1,11,11
"NW",1997,"Calves","Low",4,0,0,1,0,0,5,5
"SW",1997,"Calves","Low",4,0,0,0,1,3,8,8
"ATL",1998,"Calves","Low",1,0,0,2,0,4,7,7
"USJ",1998,"Calves","Low",4,1,1,6,0,0,12,12
"NW",1998,"Calves","Low",2,1,1,0,0,4,8,8
"SW",1998,"Calves","Low",2,0,0,2,0,2,6,6
"ATL",1999,"Calves","Low",2,0,0,3,0,3,8,8
"USJ",1999,"Calves","Low",2,0,0,4,0,0,6,6
"NW",1999,"Calves","Low",1,0,1,1,0,1,4,4
"SW",1999,"Calves","Low",1,0,0,0,0,2,3,3
"ATL",2000,"Calves","Low",3,1,0,3,0,3,10,10
"USJ",2000,"Calves","Low",0,1,0,1,0,0,2,2
"NW",2000,"Calves","Low",1,0,1,2,0,2,6,6
"SW",2000,"Calves","Low",2,0,0,0,0,6,8,8
"ATL",2001,"Calves","Low",4,0,0,1,0,4,9,9
"USJ",2001,"Calves","Low",1,0,1,5,0,1,8,8
"NW",2001,"Calves","Low",3,0,0,2,0,2,7,7
"SW",2001,"Calves","Low",4,0,0,1,0,5,10,10
"ATL",2002,"Calves","Low",2,0,0,1,0,3,6,6
"USJ",2002,"Calves","Low",1,0,0,3,0,1,5,5
"NW",2002,"Calves","Low",1,0,1,3,0,3,8,8
"SW",2002,"Calves","Low",2,0,0,2,2,3,9,9
"ATL",2003,"Calves","Low",1,0,0,2,0,4,7,7
"USJ",2003,"Calves","Low",2,0,0,2,0,0,4,4
"NW",2003,"Calves","Low",10,0,0,10,1,12,33,33
"SW",2003,"Calves","Low",5,0,0,0,0,3,8,8
"ATL",2004,"Calves","Low",3,0,0,2,0,2,7,7
"USJ",2004,"Calves","Low",2,0,0,3,0,0,5,5
"NW",2004,"Calves","Low",1,0,0,1,0,3,5,5
"SW",2004,"Calves","Low",1,0,0,0,0,3,4,4
"ATL",2005,"Calves","Low",5,1,0,2,0,0,8,8
"USJ",2005,"Calves","Low",2,2,1,1,0,1,7,7
"NW",2005,"Calves","Low",1,1,0,2,0,3,7,7
"SW",2005,"Calves","Low",5,0,0,1,1,4,11,11
"ATL",2006,"Calves","Low",5,1,0,1,0,3,10,10
"USJ",2006,"Calves","Low",1,0,1,4,0,0,6,6
"NW",2006,"Calves","Low",3,0,0,2,0,1,6,6
"SW",2006,"Calves","Low",1,0,0,2,0,4,7,7
"ATL",2007,"Calves","Low",2,0,0,4,0,4,10,10
"USJ",2007,"Calves","Low",1,0,1,3,0,1,6,6
"NW",2007,"Calves","Low",2,0,0,0,0,0,2,2
"SW",2007,"Calves","Low",4,0,0,3,0,5,12,12
"ATL",2008,"Calves","Low",3,1,0,3,0,2,9,9
"USJ",2008,"Calves","Low",2,0,2,3,0,0,7,7
"NW",2008,"Calves","Low",4,1,0,5,0,1,11,11
"SW",2008,"Calves","Low",4,0,0,0,0,5,9,9
"ATL",2009,"Calves","Low",7,0,0,2,0,1,10,10
"USJ",2009,"Calves","Low",5,0,0,4,0,1,10,10
